model,n_train,n_seeds,top1_mean,top1_std,nll_mean,nll_std
nonlinear,150,5,0.5025974025974025,0.06355680157528394,1.0879451154795772,0.033652934654700054
nonlinear,400,5,0.6337662337662338,0.009847890187079928,0.9136971591408922,0.03007218872069507
nonlinear,800,5,0.7012987012987013,0.012148238268746581,0.8922916491268553,0.09118425994969334
nonlinear,1263,5,0.6818181818181819,0.006493506493506496,0.9587570402314471,0.040159111549009585
simple,150,5,0.5935064935064934,0.0035566399837997508,0.9213053838331071,0.0016664229186375515
simple,400,5,0.5974025974025974,0.0,0.8360833027560748,0.0006554049530890251
simple,800,5,0.6727272727272726,0.003556639983799812,0.7547899040657481,0.00024010860494845773
simple,1263,5,0.6675324675324675,0.00543285731515633,0.8103244130935983,0.00039951529679428606
