profile,condition,seed,repeat_rate,visit_entropy,max_share,distinct,action_repeat_rate
Karlach,location_only,9,0.0000,0.8783,0.4800,3.0000,0.0000
Karlach,full,0,0.0000,0.8783,0.4800,3.0000,0.0000
Karlach,full,1,0.0000,0.6931,0.5000,2.0000,0.0000
Karlach,full,2,0.0000,0.8783,0.4800,3.0000,0.0000
Karlach,full,3,0.0000,0.8334,0.4800,3.0000,0.0000
Karlach,full,4,0.0000,0.8334,0.4800,3.0000,0.0000
Karlach,full,5,0.0000,0.8334,0.4800,3.0000,0.0000
Karlach,full,6,0.0000,0.9165,0.4600,3.0000,0.0000
Karlach,full,7,0.0000,0.8783,0.4800,3.0000,0.0000
Karlach,full,8,0.0000,0.8783,0.4800,3.0000,0.0000
Karlach,full,9,0.0000,0.8783,0.4800,3.0000,0.0000
Halsin,none,0,0.8367,0.2788,0.9200,2.0000,0.9024
Halsin,none,1,0.9592,0.0980,0.9800,2.0000,0.9574
Halsin,none,2,0.8776,0.2788,0.9200,2.0000,1.0000
Halsin,none,3,0.8776,0.2788,0.9200,2.0000,1.0000
Halsin,none,4,0.9184,0.2270,0.9400,2.0000,1.0000
Halsin,none,5,0.8367,0.2788,0.9200,2.0000,1.0000
Halsin,none,6,0.7551,0.4050,0.8600,2.0000,0.9189
Halsin,none,7,0.7755,0.4050,0.8600,2.0000,0.9474
Halsin,none,8,0.9592,0.0980,0.9800,2.0000,0.9787
Halsin,none,9,0.8367,0.2788,0.9200,2.0000,0.9512
Halsin,location_only,0,0.0000,1.2861,0.3800,5.0000,0.0000
Halsin,location_only,1,0.0000,1.1562,0.3800,4.0000,0.0000
Halsin,location_only,2,0.0000,1.2837,0.3400,4.0000,0.0000
Halsin,location_only,3,0.0000,1.1630,0.3800,4.0000,0.0000
Halsin,location_only,4,0.0000,1.2479,0.3800,4.0000,0.0000
Halsin,location_only,5,0.0000,1.2436,0.3800,4.0000,0.0000
Halsin,location_only,6,0.0000,1.2390,0.3800,5.0000,0.0000
Halsin,location_only,7,0.0000,1.2069,0.3600,4.0000,0.0000
Halsin,location_only,8,0.0000,1.2515,0.3600,4.0000,0.0000
Halsin,location_only,9,0.0000,1.2770,0.3600,4.0000,0.0000
Halsin,full,0,0.0000,1.2861,0.3800,5.0000,0.0000
Halsin,full,1,0.0000,1.1562,0.3800,4.0000,0.0000
Halsin,full,2,0.0000,1.2837,0.3400,4.0000,0.0000
Halsin,full,3,0.0000,1.1630,0.3800,4.0000,0.0000
Halsin,full,4,0.0000,1.2479,0.3800,4.0000,0.0000
Halsin,full,5,0.0000,1.2436,0.3800,4.0000,0.0000
Halsin,full,6,0.0000,1.2390,0.3800,5.0000,0.0000
Halsin,full,7,0.0000,1.2069,0.3600,4.0000,0.0000
Halsin,full,8,0.0000,1.2515,0.3600,4.0000,0.0000
Halsin,full,9,0.0000,1.2770,0.3600,4.0000,0.0000
