idx,O,C,E,A,N,loud_share,conflict_share,coop_share,move_rate,coverage,noise,selected
327,0.62,-0.12,-0.50,0.61,0.33,0.1400,0.0050,0.2750,0.9550,0.6833,0.1845,0
328,-0.43,-0.46,0.64,0.37,-0.80,0.9950,0.0200,0.8100,0.9900,0.5083,0.1104,0
329,0.70,-0.71,0.09,-0.65,0.11,0.5050,0.3650,0.0500,1.0000,0.7917,0.1755,0
330,0.35,0.54,-0.36,0.59,0.14,0.0150,0.0000,0.5200,0.7100,0.3583,0.1957,0
331,0.67,0.36,0.41,-0.30,0.61,0.5250,0.1850,0.3600,0.7600,0.6667,0.2984,0
332,-0.73,0.54,-0.45,0.68,-0.22,0.0000,0.0000,0.9000,0.5500,0.3333,0.1285,0
333,-0.49,-0.69,-0.59,0.11,-0.44,0.5000,0.0800,0.2450,1.0000,0.7833,0.1252,0
334,0.78,0.78,0.29,-0.46,0.73,0.1750,0.0550,0.2800,0.5800,0.4917,0.3986,0
335,0.51,-0.71,-0.23,-0.24,0.24,0.3750,0.1850,0.1050,0.9900,0.8250,0.1708,0
336,0.26,0.38,0.15,0.60,-0.56,0.7300,0.0000,0.8700,0.8950,0.5583,0.1636,0
337,-0.64,-0.04,0.42,0.63,-0.07,1.0000,0.0200,0.9250,0.9100,0.3417,0.1603,0
338,0.08,0.66,0.04,-0.72,0.38,0.0900,0.0650,0.1950,0.6200,0.3500,0.3857,0
339,-0.59,0.54,-0.09,-0.12,-0.10,0.0500,0.0100,0.6150,0.6800,0.3333,0.2971,0
340,0.50,-0.17,0.67,0.16,-0.46,0.8000,0.0350,0.7250,0.9950,0.6667,0.0981,0
341,0.79,-0.71,0.76,-0.74,0.35,0.7000,0.5600,0.0250,0.9850,0.6583,0.1374,0
342,-0.79,-0.06,-0.62,0.75,-0.14,0.0000,0.0000,0.7100,0.7550,0.3333,0.1318,0
343,-0.78,-0.15,0.12,0.67,0.50,0.4700,0.0300,0.7650,0.7450,0.3917,0.5216,0
344,0.45,0.16,0.78,-0.04,0.61,0.9550,0.2100,0.5750,0.7050,0.4417,0.2379,0
345,0.51,-0.49,-0.24,0.69,0.63,0.2800,0.0200,0.3750,0.9550,0.7833,0.1896,0
346,0.38,-0.14,-0.35,-0.57,0.66,0.0550,0.0500,0.1250,0.8650,0.5917,0.1810,0
347,0.58,-0.15,-0.10,-0.25,0.75,0.1950,0.0850,0.2050,0.9050,0.7250,0.2271,0
348,0.14,0.30,0.52,-0.79,-0.19,0.9950,0.8850,0.0350,0.9200,0.5083,0.1579,0
349,0.01,0.57,-0.63,-0.45,0.43,0.0000,0.0000,0.0700,0.6100,0.3333,0.1673,0
350,-0.51,0.29,-0.42,0.10,-0.53,0.3600,0.0400,0.8650,0.9800,0.6250,0.1823,0
351,0.50,0.64,0.05,0.70,0.71,0.1250,0.0050,0.5850,0.6050,0.4167,0.3326,0
352,-0.58,0.70,-0.64,0.10,0.22,0.0000,0.0000,0.1650,0.2950,0.2750,0.2471,0
353,0.19,0.77,-0.45,-0.73,-0.52,0.0500,0.0200,0.0050,0.9250,0.5750,0.1453,0
354,0.79,-0.75,0.36,-0.73,0.73,0.5050,0.3150,0.0800,0.9700,0.7750,0.2052,0
355,-0.08,-0.36,0.74,-0.77,0.77,0.9200,0.5900,0.1350,0.8000,0.5667,0.2565,0
356,-0.51,0.21,-0.53,0.16,-0.50,0.2550,0.0200,0.7900,0.9600,0.5500,0.1556,0
357,-0.20,-0.56,0.33,0.11,0.67,0.8050,0.2350,0.3850,0.8350,0.6583,0.3121,0
358,0.62,-0.06,0.60,0.49,-0.69,0.7400,0.0000,0.7450,1.0000,0.6750,0.0787,0
359,0.29,0.73,-0.22,-0.46,-0.78,0.5000,0.3450,0.1000,1.0000,0.6750,0.0883,0
360,-0.29,-0.53,0.59,-0.42,0.28,0.9850,0.7600,0.0900,0.9350,0.5167,0.1933,0
361,0.68,-0.04,0.77,0.41,0.54,0.8850,0.1300,0.6800,0.8250,0.5667,0.2238,0
362,-0.24,0.38,-0.54,-0.69,0.69,0.0000,0.0000,0.1100,0.5550,0.3333,0.1655,0
363,-0.01,-0.64,-0.69,-0.62,-0.36,0.3700,0.2650,0.0550,1.0000,0.8000,0.1519,0
364,-0.24,-0.05,-0.59,0.17,0.67,0.0050,0.0000,0.2600,0.7250,0.3667,0.2097,0
365,-0.24,0.18,-0.71,0.65,-0.71,0.3050,0.0000,0.7650,1.0000,0.6917,0.0854,0
366,-0.13,-0.31,0.52,0.74,-0.18,1.0000,0.0000,0.9750,0.9750,0.4250,0.1289,0
367,0.60,0.68,-0.05,0.26,0.02,0.2700,0.0100,0.6350,0.7750,0.5417,0.2138,0
368,-0.47,-0.21,0.70,0.62,0.58,0.9800,0.0950,0.7850,0.7900,0.4167,0.2190,0
369,-0.62,0.51,0.66,-0.62,0.56,0.6450,0.3500,0.3650,0.5800,0.3750,0.6124,0
370,-0.52,-0.03,0.10,0.72,0.70,0.3550,0.0350,0.6800,0.7050,0.3917,0.5098,0
371,-0.52,-0.06,-0.69,-0.73,0.72,0.0050,0.0050,0.1100,0.5950,0.3500,0.1721,0
372,-0.58,0.79,0.78,0.37,-0.64,1.0000,0.0000,1.0000,0.8850,0.3333,0.1152,0
373,-0.70,-0.51,-0.63,0.49,0.29,0.0000,0.0000,0.5000,0.7850,0.3750,0.1596,0
374,0.58,0.45,0.74,0.44,-0.48,1.0000,0.0300,0.8400,0.8400,0.3667,0.1354,0
375,0.51,-0.12,0.74,-0.77,-0.72,0.7800,0.7800,0.0000,1.0000,0.6667,0.0566,0
376,0.48,-0.68,0.79,0.23,0.36,0.8150,0.1800,0.4350,0.9450,0.5917,0.2579,0
377,-0.66,0.70,0.20,-0.63,0.61,0.1000,0.0700,0.2650,0.3600,0.3083,0.4520,0
378,-0.64,-0.17,0.28,-0.68,0.27,0.9050,0.6750,0.1000,0.8700,0.5750,0.2902,0
379,0.63,-0.73,-0.05,0.47,0.77,0.3850,0.0550,0.2900,0.9600,0.7917,0.2187,0
380,0.12,-0.71,-0.54,0.73,0.14,0.3200,0.0050,0.3500,1.0000,0.8333,0.1230,0
381,-0.79,-0.48,-0.43,0.38,-0.53,0.7000,0.0600,0.5200,1.0000,0.6667,0.1000,0
382,0.76,0.37,0.77,-0.46,0.42,0.8950,0.3500,0.4350,0.6900,0.5167,0.2218,0
383,0.28,0.70,0.42,0.18,0.59,0.3550,0.0250,0.7450,0.5300,0.3833,0.4965,0
384,0.08,0.57,0.31,-0.40,-0.67,0.9900,0.5050,0.4600,0.9750,0.5167,0.1347,0
385,-0.41,-0.71,0.21,-0.35,0.54,0.7400,0.4200,0.1650,0.9300,0.8083,0.2642,0
386,-0.74,0.80,-0.72,-0.27,-0.13,0.0000,0.0000,0.0500,0.1650,0.2167,0.1913,0
387,-0.66,-0.67,0.49,0.54,0.27,0.9950,0.0800,0.6850,0.9400,0.4250,0.2107,0
388,-0.47,0.29,-0.03,0.65,0.75,0.0600,0.0000,0.5850,0.5700,0.3583,0.3100,0
389,0.59,-0.40,0.49,0.69,-0.06,0.7250,0.0100,0.7200,0.9800,0.6333,0.1508,0
390,0.55,-0.45,-0.60,0.04,-0.76,0.4150,0.1600,0.0400,1.0000,0.7333,0.1459,0
391,-0.77,-0.05,0.51,0.41,0.17,1.0000,0.0500,0.8350,0.8800,0.3417,0.1916,0
392,-0.68,0.46,-0.09,0.65,0.40,0.0100,0.0000,0.7550,0.5100,0.3417,0.2358,0
393,0.22,-0.28,0.52,0.02,0.54,0.8500,0.2200,0.4250,0.8550,0.6083,0.2677,0
394,0.45,0.44,-0.73,-0.79,0.79,0.0000,0.0000,0.0900,0.6500,0.3750,0.1691,0
395,-0.72,-0.15,0.76,0.09,0.40,1.0000,0.1650,0.6450,0.8150,0.3583,0.2226,0
396,-0.38,-0.63,0.18,-0.64,-0.49,0.7600,0.7600,0.0000,1.0000,0.6667,0.0693,0
397,0.77,0.69,0.47,-0.68,0.13,0.7250,0.4150,0.2600,0.7050,0.5417,0.2470,0
398,-0.67,0.37,0.37,0.18,-0.73,1.0000,0.0000,0.9950,0.9950,0.4083,0.0885,0
399,-0.15,-0.26,-0.76,0.72,0.23,0.0200,0.0000,0.4350,0.9500,0.5250,0.1610,0
400,0.71,0.67,-0.59,0.39,-0.48,0.1750,0.0000,0.1500,0.9850,0.5667,0.1353,0
401,-0.05,0.07,0.71,0.67,0.51,0.9900,0.0450,0.8400,0.7600,0.3833,0.2068,0
402,-0.71,-0.20,-0.02,0.77,-0.63,0.9950,0.0000,0.9050,1.0000,0.5083,0.1013,0
403,0.48,-0.11,0.72,0.72,0.05,0.9400,0.0200,0.8600,0.9100,0.4500,0.1671,0
404,0.60,0.64,0.30,-0.42,-0.06,0.6600,0.3000,0.4350,0.8000,0.5667,0.2052,0
405,-0.56,0.21,-0.65,0.27,0.58,0.0000,0.0000,0.2350,0.5650,0.3333,0.2014,0
406,0.43,-0.54,-0.76,-0.57,-0.41,0.3100,0.1550,0.0200,1.0000,0.7917,0.1501,0
407,-0.25,-0.23,-0.69,0.13,-0.53,0.3650,0.0550,0.2600,1.0000,0.8667,0.1514,0
408,-0.14,0.33,-0.79,0.01,0.51,0.0000,0.0000,0.1500,0.6250,0.3333,0.1881,0
409,0.53,-0.79,0.15,0.48,0.11,0.5450,0.0450,0.3200,1.0000,0.7250,0.1512,0
410,0.64,0.57,-0.36,-0.20,0.47,0.0050,0.0000,0.1600,0.6650,0.4000,0.1893,0
411,-0.79,-0.56,-0.61,0.74,0.01,0.1950,0.0050,0.7400,0.9650,0.6333,0.1965,0
412,-0.28,0.58,-0.01,-0.37,0.50,0.0950,0.0550,0.2700,0.5650,0.3417,0.4119,0
413,-0.29,-0.15,0.77,-0.53,0.69,0.9250,0.4650,0.2950,0.7750,0.4750,0.3165,0
414,-0.72,0.64,0.00,-0.42,-0.38,0.5000,0.2650,0.3550,0.6900,0.3667,0.6270,0
415,-0.14,0.09,0.36,-0.79,-0.72,0.9750,0.9750,0.0000,1.0000,0.5417,0.0946,0
416,-0.56,0.49,0.52,-0.49,0.46,0.6000,0.2850,0.4400,0.6050,0.3667,0.6055,0
417,0.54,0.80,-0.70,-0.18,-0.60,0.0000,0.0000,0.0250,0.9750,0.3750,0.0946,0
418,-0.72,-0.18,0.45,0.70,-0.06,1.0000,0.0150,0.9200,0.9200,0.3417,0.1476,0
419,-0.56,-0.73,0.59,0.10,-0.38,1.0000,0.4350,0.1300,0.9900,0.5000,0.1652,0
420,-0.43,0.55,-0.03,-0.76,-0.69,1.0000,0.9000,0.0000,0.9850,0.4917,0.0871,0
421,-0.75,0.53,0.10,0.67,-0.54,1.0000,0.0000,1.0000,0.8950,0.3333,0.0589,0
422,-0.80,-0.60,-0.38,-0.10,0.09,0.3900,0.1950,0.3450,0.9650,0.8000,0.2567,0
423,0.54,0.51,-0.07,0.00,0.35,0.0400,0.0000,0.3000,0.6950,0.4667,0.2338,0
424,-0.57,-0.19,-0.48,-0.77,-0.49,0.4950,0.4900,0.0850,1.0000,0.7583,0.1119,0
425,0.72,0.26,0.13,0.32,0.61,0.3250,0.0550,0.4250,0.8250,0.6833,0.2529,0
426,0.52,-0.70,-0.64,0.01,0.64,0.1400,0.0400,0.1500,0.9550,0.6917,0.1882,0
427,-0.07,0.54,-0.60,0.49,-0.40,0.0100,0.0000,0.6800,0.9000,0.3583,0.1644,0
428,0.57,-0.01,-0.13,-0.51,0.48,0.1900,0.0950,0.1150,0.9400,0.7250,0.1979,0
429,-0.50,0.12,-0.53,-0.28,-0.16,0.0000,0.0000,0.2300,0.8050,0.3333,0.1434,0
430,-0.51,-0.70,0.00,-0.24,-0.43,0.7500,0.6950,0.0200,1.0000,0.6917,0.1101,0
431,0.53,0.27,0.46,0.66,-0.75,0.7650,0.0000,0.8100,0.9950,0.6750,0.1196,0
432,0.45,0.32,0.55,-0.72,-0.34,0.8950,0.8750,0.0100,0.9850,0.6333,0.1303,0
433,0.73,0.05,-0.80,0.25,0.52,0.0150,0.0050,0.1250,0.8900,0.5250,0.1485,0
434,-0.49,-0.33,0.70,-0.67,0.40,1.0000,0.7600,0.0900,0.8800,0.4583,0.2003,0
435,-0.13,-0.40,-0.40,-0.66,0.53,0.0650,0.0250,0.1300,0.8700,0.6083,0.2116,0
436,0.50,-0.60,-0.05,0.06,-0.03,0.5100,0.1500,0.1850,1.0000,0.7667,0.1616,0
437,0.74,0.32,-0.80,-0.53,-0.03,0.0050,0.0000,0.0100,0.9600,0.5083,0.0900,0
438,0.08,-0.49,0.66,0.55,0.34,0.9650,0.0950,0.7200,0.8900,0.4833,0.1951,0
439,-0.64,-0.67,-0.51,0.20,0.56,0.0450,0.0050,0.3600,0.7950,0.4750,0.2056,0
440,0.17,0.73,-0.07,0.56,0.80,0.0600,0.0000,0.4500,0.5750,0.3500,0.3275,0
441,-0.55,-0.51,0.50,0.38,-0.04,1.0000,0.0550,0.7550,0.9750,0.4417,0.1875,0
442,0.65,-0.52,0.48,-0.79,-0.28,0.7000,0.6600,0.0000,1.0000,0.6667,0.0490,0
443,0.61,0.79,0.19,-0.02,0.38,0.2000,0.0150,0.5050,0.4850,0.4167,0.3921,0
444,-0.19,0.44,-0.58,0.55,0.04,0.0000,0.0000,0.4600,0.7600,0.3333,0.1726,0
445,0.67,-0.47,-0.01,0.51,0.45,0.4250,0.0250,0.3800,0.9950,0.7417,0.1507,0
446,0.70,0.64,-0.61,-0.48,0.52,0.0000,0.0000,0.0800,0.6600,0.3750,0.1490,0
447,-0.54,-0.18,0.68,-0.12,0.06,1.0000,0.2950,0.5050,0.9400,0.3917,0.1663,0
448,0.78,-0.52,-0.46,-0.26,0.56,0.1750,0.0600,0.0850,0.9350,0.7083,0.1727,0
449,-0.53,0.04,0.73,0.44,0.07,1.0000,0.0250,0.9150,0.8950,0.3333,0.1632,0
450,0.41,0.27,-0.71,0.20,0.58,0.0000,0.0000,0.1900,0.7300,0.3833,0.1945,0
451,0.62,0.62,0.40,-0.27,-0.28,0.7700,0.2800,0.5600,0.8150,0.6583,0.1739,0
452,-0.26,-0.61,0.29,0.12,-0.73,0.7250,0.3700,0.0050,1.0000,0.6667,0.1160,0
453,-0.02,0.57,-0.49,-0.63,-0.65,0.2800,0.1000,0.0350,1.0000,0.7167,0.1253,0
454,-0.73,-0.68,0.30,0.26,-0.09,1.0000,0.1800,0.3350,0.9850,0.5000,0.1617,0
455,0.75,0.55,0.40,-0.60,-0.04,0.6400,0.3600,0.2350,0.8800,0.6583,0.2082,0
456,0.60,-0.00,-0.24,0.11,-0.74,0.5000,0.0100,0.2100,1.0000,0.8333,0.0693,0
457,0.32,-0.78,-0.69,0.07,-0.11,0.2950,0.1050,0.1350,0.9950,0.7833,0.1849,0
458,-0.73,-0.70,0.23,0.09,0.48,0.9050,0.2500,0.3250,0.8950,0.5833,0.3103,0
459,-0.64,-0.44,0.49,-0.50,0.69,0.9550,0.5400,0.2150,0.7850,0.5083,0.2859,0
460,-0.45,0.65,0.61,0.44,0.71,0.5600,0.0600,0.8500,0.5450,0.3583,0.5480,0
461,-0.65,-0.76,-0.18,0.68,-0.67,0.7300,0.0000,0.3650,1.0000,0.7833,0.1386,0
462,0.50,-0.31,0.40,0.55,-0.22,0.6800,0.0050,0.7050,0.9900,0.6833,0.1459,0
463,0.64,-0.64,-0.49,0.51,0.75,0.1900,0.0350,0.2300,0.9600,0.7250,0.1832,0
464,-0.29,0.43,-0.64,0.25,0.52,0.0000,0.0000,0.1950,0.5550,0.3333,0.2096,0
465,0.79,0.33,0.58,0.79,-0.20,0.8000,0.0000,0.8300,0.9150,0.5917,0.1589,0
466,-0.77,-0.74,-0.40,-0.74,-0.78,0.5050,0.5050,0.2500,1.0000,0.6667,0.0667,0
467,-0.69,0.73,-0.01,-0.73,-0.20,0.0000,0.0000,0.1350,0.4000,0.3167,0.2019,0
468,0.01,-0.29,0.23,0.72,-0.71,0.7850,0.0000,0.7800,1.0000,0.6667,0.0536,0
469,0.52,0.51,-0.33,-0.42,0.39,0.0050,0.0000,0.1400,0.7050,0.4083,0.1767,0
470,0.12,-0.57,-0.61,-0.51,0.17,0.1850,0.1050,0.0550,0.9850,0.7500,0.1838,0
471,-0.66,0.48,-0.64,-0.13,-0.70,0.0050,0.0000,0.3600,0.7650,0.3417,0.1283,0
472,-0.20,0.15,-0.71,0.76,-0.77,0.3550,0.0000,0.7300,1.0000,0.7833,0.1068,0
473,0.66,0.72,0.23,-0.62,-0.54,0.6300,0.5100,0.2000,0.9800,0.7333,0.1733,0
474,-0.71,-0.01,0.48,-0.52,0.35,0.9450,0.5300,0.2500,0.8000,0.4333,0.3087,0
475,-0.28,0.51,-0.55,0.49,-0.04,0.0000,0.0000,0.4950,0.7500,0.3333,0.1673,0
476,0.43,0.03,-0.76,0.73,0.43,0.0000,0.0000,0.2550,0.8600,0.4917,0.1618,0
477,-0.21,0.64,0.55,-0.39,-0.53,1.0000,0.3700,0.6200,0.8700,0.4000,0.1627,0
478,0.64,-0.51,0.19,0.04,-0.37,0.6350,0.2300,0.0550,1.0000,0.7250,0.1489,0
479,0.70,0.34,-0.43,0.52,0.64,0.0200,0.0000,0.2800,0.7050,0.4583,0.2263,0
480,-0.14,-0.60,-0.80,0.42,-0.01,0.1900,0.0050,0.2700,1.0000,0.7333,0.1270,0
481,0.47,0.70,0.56,-0.59,-0.65,1.0000,0.6350,0.3500,0.9550,0.5000,0.1194,0
482,0.71,-0.61,-0.78,0.51,-0.27,0.2700,0.0000,0.1350,0.9950,0.7583,0.1424,0
483,-0.60,-0.24,-0.39,0.45,0.69,0.0250,0.0100,0.4100,0.6650,0.3833,0.2343,0
484,0.55,0.76,-0.12,-0.78,0.30,0.0000,0.0000,0.0700,0.5700,0.3667,0.1365,0
485,-0.37,-0.04,0.17,0.74,-0.59,1.0000,0.0000,0.9950,0.9950,0.5000,0.0308,0
486,-0.12,-0.33,0.64,0.58,0.22,0.9950,0.0700,0.8100,0.8850,0.4083,0.2089,0
487,0.12,0.25,0.64,-0.63,-0.65,1.0000,0.9950,0.0050,0.9950,0.5000,0.0377,1
488,-0.34,-0.75,0.53,-0.33,0.24,0.9750,0.7650,0.0650,0.9550,0.5417,0.1978,0
489,0.51,-0.74,0.31,0.15,-0.65,0.7000,0.2750,0.0100,1.0000,0.6667,0.0691,0
490,-0.30,0.74,-0.43,-0.32,-0.75,0.2950,0.1400,0.2900,0.9750,0.6667,0.1402,0
491,0.51,-0.17,-0.58,-0.79,0.42,0.0350,0.0100,0.0700,0.9300,0.5500,0.1581,0
492,-0.17,0.19,0.76,-0.10,-0.54,1.0000,0.2300,0.7550,1.0000,0.5000,0.1248,0
493,-0.28,-0.33,0.28,0.74,0.55,0.9400,0.0800,0.7200,0.8050,0.4917,0.2630,0
494,-0.23,-0.35,0.54,0.63,-0.75,0.9800,0.0050,0.9750,0.9950,0.5333,0.0942,0
495,0.15,0.11,0.52,0.51,0.73,0.8400,0.1000,0.7200,0.7300,0.5500,0.3227,0
496,-0.73,-0.27,-0.21,-0.28,-0.63,0.7950,0.6150,0.1950,1.0000,0.6750,0.1247,0
497,0.79,-0.32,-0.63,0.54,0.45,0.1050,0.0050,0.1850,0.9650,0.6417,0.1771,0
498,0.52,0.52,-0.59,0.28,0.52,0.0050,0.0000,0.2000,0.6800,0.3667,0.2007,0
499,-0.71,0.33,-0.12,-0.56,0.68,0.0550,0.0350,0.2150,0.4900,0.3583,0.2987,0
500,-0.71,-0.40,-0.35,0.75,0.53,0.0250,0.0000,0.6050,0.7450,0.3833,0.2049,0
501,0.55,-0.07,-0.40,0.17,-0.57,0.4200,0.0150,0.1700,1.0000,0.8500,0.1351,0
502,0.47,0.34,-0.63,0.23,0.64,0.0000,0.0000,0.1900,0.7050,0.3750,0.2015,0
503,0.50,0.74,0.01,0.25,-0.41,0.5900,0.0050,0.8550,0.8950,0.4417,0.1516,0
504,-0.39,0.14,-0.31,-0.58,0.54,0.0100,0.0100,0.1650,0.6250,0.3417,0.2007,0
505,-0.68,0.26,0.17,-0.23,-0.62,1.0000,0.4200,0.1000,0.9950,0.5000,0.1143,0
506,0.04,0.38,-0.42,0.78,0.78,0.0300,0.0000,0.4200,0.6400,0.3667,0.2496,0
507,0.13,-0.63,0.35,0.05,-0.76,0.7400,0.4850,0.0000,1.0000,0.6667,0.0606,0
508,-0.72,-0.13,-0.20,0.73,0.42,0.0500,0.0000,0.7150,0.7300,0.3750,0.2596,0
509,0.06,0.66,0.33,0.74,-0.08,1.0000,0.0000,0.9950,0.5200,0.3333,0.0953,1
510,-0.16,-0.09,0.36,-0.68,-0.58,0.9000,0.8950,0.0000,1.0000,0.6250,0.1252,0
511,0.66,-0.41,-0.73,0.70,0.50,0.1000,0.0150,0.2100,0.9600,0.6417,0.1823,0
512,-0.73,0.70,-0.16,-0.23,-0.04,0.0000,0.0000,0.2750,0.3300,0.2917,0.2649,0
513,-0.61,0.69,-0.78,0.04,0.18,0.0000,0.0000,0.1000,0.2800,0.2667,0.2414,0
514,0.41,-0.60,0.76,-0.13,-0.04,0.7900,0.5850,0.1100,0.9900,0.6583,0.1741,0
515,-0.66,0.58,-0.03,-0.67,-0.20,0.1000,0.0650,0.2300,0.6100,0.3417,0.4106,0
516,0.63,0.75,0.56,0.08,-0.33,0.9750,0.1750,0.7200,0.5450,0.3750,0.1866,0
517,0.05,-0.75,-0.52,0.35,0.66,0.1550,0.0300,0.2500,0.9450,0.6833,0.2274,0
518,-0.62,0.15,0.16,-0.05,0.51,0.3500,0.1000,0.4800,0.6700,0.3500,0.5410,0
519,-0.57,-0.27,0.55,-0.31,-0.25,1.0000,0.7600,0.0500,0.9850,0.5000,0.1648,0
520,0.47,-0.58,0.20,-0.17,0.69,0.4750,0.2050,0.2050,0.9450,0.7667,0.2175,0
521,0.42,-0.02,0.75,-0.57,0.73,0.8500,0.4350,0.2800,0.7850,0.6083,0.2905,0
522,-0.43,0.58,0.35,-0.73,0.04,0.8000,0.5400,0.2000,0.6750,0.3667,0.5511,0
523,0.42,-0.60,0.05,0.56,0.75,0.4650,0.0700,0.4150,0.9300,0.8167,0.2341,0
524,0.69,0.43,0.15,0.13,-0.59,0.5200,0.0050,0.7150,1.0000,0.7000,0.1257,0
525,-0.08,0.27,0.60,-0.16,-0.77,1.0000,0.3600,0.6150,1.0000,0.5000,0.1169,1
526,0.30,0.10,0.64,0.32,-0.50,0.9650,0.0050,0.9550,0.9950,0.5583,0.1141,0
527,-0.61,-0.38,-0.58,0.74,-0.16,0.3250,0.0050,0.7700,0.9900,0.7833,0.1515,0
528,0.66,-0.43,0.69,-0.17,0.44,0.7450,0.2900,0.2800,0.9550,0.6667,0.2352,0
529,-0.48,-0.54,-0.21,0.64,-0.69,0.6950,0.0050,0.6500,1.0000,0.7583,0.1453,0
530,0.35,-0.55,-0.48,-0.70,0.41,0.1600,0.0950,0.0550,0.9700,0.7167,0.1721,0
531,-0.61,0.74,0.17,0.60,0.34,0.1500,0.0000,0.8600,0.3950,0.3167,0.4581,0
532,-0.10,-0.66,-0.75,0.52,0.01,0.2200,0.0050,0.3250,1.0000,0.7667,0.1428,0
533,0.71,-0.24,0.60,-0.51,0.37,0.6900,0.4300,0.1450,0.9600,0.7000,0.2263,0
534,0.13,-0.10,0.57,-0.21,-0.50,0.9250,0.6650,0.1800,1.0000,0.6250,0.1781,0
535,0.11,-0.30,-0.55,0.68,0.38,0.1200,0.0150,0.3950,0.9550,0.6583,0.2031,0
536,-0.15,-0.65,-0.49,0.50,0.61,0.1350,0.0200,0.3350,0.9250,0.6917,0.2184,0
537,-0.40,-0.71,0.64,0.56,-0.27,1.0000,0.0200,0.8400,0.9950,0.5000,0.0921,0
538,-0.61,-0.05,0.16,-0.69,0.51,0.3600,0.2700,0.2300,0.7100,0.3917,0.6378,0
539,-0.40,0.37,-0.14,-0.69,-0.50,0.8550,0.7300,0.0900,0.9850,0.6583,0.1544,0
540,-0.14,0.72,-0.04,0.33,-0.52,0.8300,0.0200,0.9650,0.6650,0.5000,0.1543,0
541,-0.28,-0.61,-0.16,0.78,-0.11,0.6300,0.0050,0.6400,1.0000,0.7833,0.1503,0
542,0.41,-0.57,-0.57,0.26,0.73,0.1050,0.0200,0.2000,0.9350,0.6583,0.2171,0
543,0.74,-0.12,-0.63,0.38,0.64,0.0250,0.0000,0.1750,0.8900,0.5417,0.1750,0
544,-0.15,-0.78,0.38,0.43,0.77,0.7950,0.1900,0.4500,0.8750,0.7083,0.3117,0
545,0.57,-0.30,0.25,-0.20,0.61,0.4900,0.2000,0.2200,0.9450,0.7583,0.2107,0
546,-0.08,0.25,-0.77,-0.68,-0.68,0.2100,0.1550,0.0050,1.0000,0.6667,0.0765,0
547,0.66,0.69,0.59,-0.38,0.30,0.9050,0.3050,0.5150,0.5150,0.4333,0.2407,0
548,0.62,-0.28,0.25,-0.05,-0.72,0.6600,0.3150,0.0500,1.0000,0.7500,0.1346,0
549,0.13,-0.75,-0.49,-0.45,-0.69,0.5000,0.3350,0.1900,1.0000,0.6833,0.0753,0
550,-0.12,0.23,-0.53,-0.28,-0.79,0.4850,0.2750,0.2200,1.0000,0.8250,0.1896,0
551,0.79,-0.35,0.55,0.61,-0.58,0.6800,0.0000,0.6900,1.0000,0.6833,0.0882,0
552,-0.01,0.52,-0.18,0.66,0.65,0.0450,0.0000,0.5250,0.6100,0.3583,0.2803,0
553,0.49,0.76,-0.17,-0.66,-0.25,0.1700,0.1200,0.0400,0.9050,0.5750,0.1595,0
554,-0.74,0.78,0.42,0.33,0.76,0.3050,0.0300,0.6650,0.4000,0.3250,0.5656,0
555,-0.62,-0.24,-0.55,-0.00,0.39,0.0000,0.0000,0.2750,0.7250,0.3417,0.1846,0
556,-0.62,-0.42,-0.61,0.67,0.02,0.1550,0.0100,0.7000,0.9550,0.6417,0.1890,0
557,0.56,-0.78,-0.36,0.16,-0.02,0.3900,0.1150,0.1450,0.9950,0.8000,0.1578,0
558,0.36,-0.12,0.77,0.72,0.62,0.9450,0.0750,0.7600,0.7950,0.4667,0.2648,0
559,0.67,0.78,0.50,-0.65,0.15,0.8900,0.5300,0.2850,0.5000,0.4333,0.2659,0
560,0.67,-0.25,0.32,0.59,0.32,0.6300,0.0400,0.5850,0.9600,0.7167,0.1912,0
561,0.67,0.06,0.71,-0.64,-0.65,0.8000,0.8000,0.0000,1.0000,0.6667,0.0000,0
562,-0.12,0.73,0.62,-0.11,-0.41,1.0000,0.1250,0.8650,0.7350,0.3333,0.1282,0
563,0.71,0.78,0.35,0.10,-0.50,0.6900,0.0450,0.7700,0.7550,0.5167,0.1880,0
564,0.35,0.24,0.02,-0.62,-0.65,0.5600,0.5550,0.0950,1.0000,0.8250,0.1211,0
565,0.57,-0.51,0.04,-0.13,0.68,0.3750,0.1350,0.1950,0.9550,0.7750,0.2068,0
566,-0.74,-0.57,0.37,-0.12,-0.52,1.0000,0.7850,0.0200,0.9950,0.5000,0.1391,0
567,0.22,0.62,0.03,0.38,0.63,0.0900,0.0050,0.5650,0.6400,0.3917,0.3251,0
568,0.58,0.65,0.73,-0.05,-0.48,0.9900,0.1750,0.7700,0.7650,0.4083,0.1517,0
569,-0.23,0.50,0.48,-0.71,0.34,0.7500,0.5050,0.2650,0.6250,0.3750,0.5842,0
570,0.21,-0.49,-0.58,0.66,-0.18,0.3350,0.0000,0.3700,1.0000,0.8333,0.1102,0
571,0.61,-0.71,0.34,0.41,0.17,0.6250,0.0400,0.3950,0.9900,0.7083,0.1929,0
572,-0.48,-0.54,0.08,0.75,0.43,0.8700,0.0550,0.6600,0.9050,0.6083,0.2942,0
573,-0.03,0.12,-0.69,0.11,0.58,0.0000,0.0000,0.2150,0.7100,0.3500,0.1889,0
