idx,O,C,E,A,N,loud_share,conflict_share,coop_share,move_rate,coverage,noise,selected
140,-0.57,-0.76,0.47,0.24,-0.11,1.0000,0.2450,0.2950,0.9900,0.5000,0.1785,0
141,-0.31,0.38,0.78,-0.62,-0.40,1.0000,0.6600,0.2300,0.9700,0.4667,0.1762,0
142,0.02,-0.51,0.04,-0.31,0.50,0.5100,0.2500,0.2200,0.9500,0.8250,0.2370,0
143,-0.54,-0.21,-0.74,-0.35,-0.06,0.0200,0.0100,0.1350,0.8850,0.5167,0.1623,0
144,-0.71,-0.25,0.37,0.52,-0.36,1.0000,0.0050,0.9200,0.9850,0.3833,0.1272,0
145,0.35,-0.26,0.31,-0.72,-0.50,0.7350,0.7300,0.0000,1.0000,0.6667,0.0733,0
146,0.77,0.04,0.56,-0.36,-0.17,0.6950,0.4800,0.1150,0.9900,0.6833,0.1858,0
147,-0.69,0.50,-0.60,0.00,0.75,0.0000,0.0000,0.1750,0.3700,0.3083,0.2419,0
148,-0.45,0.53,0.40,0.66,0.45,0.5950,0.0050,0.9300,0.5900,0.3500,0.5181,0
149,-0.78,-0.54,-0.75,0.73,0.31,0.0000,0.0000,0.4950,0.7400,0.3417,0.1421,0
150,-0.74,0.39,0.27,0.42,0.51,0.3450,0.0300,0.8050,0.5800,0.3500,0.5226,0
151,0.52,-0.27,0.80,0.64,0.66,0.9250,0.0950,0.6800,0.8300,0.5250,0.2665,0
152,-0.41,0.15,0.52,0.65,0.28,0.9900,0.0150,0.9000,0.7700,0.3583,0.1777,0
153,0.09,0.54,0.67,0.58,-0.44,1.0000,0.0450,0.9450,0.8400,0.3333,0.1111,0
154,-0.67,0.79,-0.25,-0.75,-0.78,0.9700,0.2900,0.0000,0.3450,0.3250,0.2216,0
155,-0.43,-0.66,-0.72,0.45,-0.45,0.4250,0.0150,0.2850,1.0000,0.8000,0.1456,0
156,-0.71,-0.64,0.59,-0.49,0.75,0.9100,0.5200,0.2000,0.8250,0.5917,0.3280,0
157,0.03,-0.04,0.44,-0.71,-0.66,0.8250,0.8250,0.0000,1.0000,0.6667,0.0758,0
158,-0.63,-0.60,-0.19,-0.74,0.52,0.1800,0.1350,0.1900,0.8650,0.6667,0.3319,0
159,0.70,0.24,0.57,-0.63,-0.69,0.7950,0.7950,0.0050,1.0000,0.6750,0.0524,0
160,-0.76,-0.76,-0.51,0.69,0.40,0.1450,0.0100,0.5800,0.8650,0.6083,0.2530,0
161,-0.29,0.79,0.24,-0.48,-0.51,1.0000,0.6100,0.3250,0.6400,0.4083,0.1976,0
162,0.49,-0.24,0.70,0.24,0.63,0.8650,0.1650,0.5500,0.8350,0.5917,0.2476,0
163,0.52,-0.56,-0.39,-0.65,0.11,0.3100,0.1800,0.0300,0.9950,0.8250,0.1474,0
164,0.71,0.43,0.23,-0.02,-0.60,0.5300,0.0400,0.6350,1.0000,0.7000,0.1386,0
165,0.38,0.56,-0.79,0.72,-0.10,0.0000,0.0000,0.3600,0.7900,0.3667,0.1573,0
166,0.52,0.63,-0.62,-0.62,-0.64,0.1950,0.1250,0.0000,1.0000,0.5833,0.1373,0
167,-0.26,0.68,-0.63,0.59,-0.23,0.0000,0.0000,0.5700,0.7650,0.3333,0.1771,0
168,0.28,0.73,-0.77,-0.26,-0.02,0.0000,0.0000,0.0150,0.7300,0.3333,0.1462,0
169,0.41,-0.36,0.57,0.25,0.55,0.8100,0.1550,0.4900,0.8800,0.6500,0.2464,0
170,0.55,0.54,0.26,0.61,-0.60,0.6900,0.0000,0.8400,0.8950,0.5917,0.1329,0
171,-0.52,0.79,0.08,-0.47,0.29,0.0000,0.0000,0.2400,0.3600,0.3083,0.2352,0
172,-0.02,0.00,-0.67,0.36,0.61,0.0050,0.0000,0.2500,0.7350,0.3750,0.2155,0
