sequence_id,file,policy,checkpoint,personality,world,seed,n_cycles,generated_at
S01,S01.json,scorer,,high_E,data/world.json,42,8,2026-07-17T18:01:34
S02,S02.json,scorer,,low_E_high_N,data/world.json,42,8,2026-07-17T18:01:34
